Stock,Date,Open,High,Low,Close,Adj Close,Volume
ADANIENT,31-Mar-23,"1,788.00","1,825.00","1,740.00","1,750.45","1,750.45","48,93,249"
ADANIENT,29-Mar-23,"1,602.95","1,756.00","1,591.10","1,740.40","1,740.40","93,32,702"
ADANIENT,28-Mar-23,"1,727.95","1,733.00","1,573.00","1,600.85","1,600.85","81,44,878"
ADANIENT,27-Mar-23,"1,740.65","1,757.40","1,682.00","1,723.05","1,723.05","50,53,055"
ADANIENT,24-Mar-23,"1,796.00","1,823.00","1,695.25","1,740.65","1,740.65","61,87,968"
ADANIENT,23-Mar-23,"1,794.00","1,834.00","1,780.00","1,794.00","1,794.00","41,08,804"
ADANIENT,22-Mar-23,"1,834.00","1,850.00","1,806.15","1,815.40","1,815.40","32,48,124"
ADANIENT,21-Mar-23,"1,836.95","1,861.00","1,804.95","1,824.25","1,824.25","40,94,018"
ADANIENT,20-Mar-23,"1,837.00","1,849.95","1,777.40","1,804.95","1,804.95","51,68,139"
ADANIENT,17-Mar-23,"1,901.00","1,918.85","1,845.00","1,876.55","1,876.55","59,69,594"
ADANIENT,16-Mar-23,"1,861.00","1,875.00","1,795.00","1,843.80","1,843.80","65,09,495"
ADANIENT,15-Mar-23,"1,760.90","1,891.45","1,728.10","1,839.00","1,839.00","1,22,96,703"
ADANIENT,14-Mar-23,"1,874.00","1,874.85","1,651.35","1,738.20","1,738.20","1,26,79,663"
ADANIENT,13-Mar-23,"1,917.00","1,985.00","1,857.40","1,874.40","1,874.40","75,72,604"
ADANIENT,10-Mar-23,"1,870.00","1,940.00","1,820.60","1,896.20","1,896.20","94,19,942"
ADANIENT,9-Mar-23,"2,049.80","2,068.85","1,905.35","1,953.15","1,953.15","1,26,27,794"
ADANIENT,8-Mar-23,"2,040.00","2,088.00","1,941.00","2,039.65","2,039.65","1,35,68,243"
ADANIENT,6-Mar-23,"1,966.70","2,135.00","1,855.00","1,982.90","1,982.90","2,71,80,456"
ADANIENT,3-Mar-23,"1,688.85","1,905.95","1,685.50","1,879.50","1,879.50","2,28,88,891"
ADANIENT,2-Mar-23,"1,499.90","1,646.00","1,407.90","1,607.25","1,607.25","2,69,70,925"
ADANIENT,1-Mar-23,"1,424.00","1,580.00","1,411.00","1,564.30","1,564.30","2,01,14,340"
ADANIENT,28-Feb-23,"1,145.00","1,398.00","1,103.75","1,363.85","1,363.85","3,39,48,366"
ADANIENT,27-Feb-23,"1,300.00","1,313.80","1,131.05","1,193.50","1,193.50","1,02,71,008"
ADANIENT,24-Feb-23,"1,410.00","1,427.00","1,261.60","1,315.65","1,315.65","87,36,727"
ADANIENT,23-Feb-23,"1,380.00","1,438.00","1,350.00","1,382.65","1,382.65","89,07,540"
ADANIENT,22-Feb-23,"1,535.00","1,560.00","1,381.20","1,404.85","1,404.85","1,06,06,476"
ADANIENT,21-Feb-23,"1,626.00","1,644.45","1,561.30","1,571.10","1,571.10","55,71,915"
ADANIENT,20-Feb-23,"1,650.00","1,685.00","1,560.50","1,621.45","1,621.45","67,62,330"
ADANIENT,17-Feb-23,"1,800.00","1,815.85","1,703.20","1,722.70","1,722.70","53,92,513"
ADANIENT,16-Feb-23,"1,820.00","1,874.95","1,790.00","1,796.60","1,796.60","55,78,515"
ADANIENT,15-Feb-23,"1,780.00","1,824.40","1,750.00","1,779.10","1,779.10","76,36,578"
ADANIENT,14-Feb-23,"1,735.00","1,889.00","1,611.35","1,749.70","1,749.70","1,45,79,030"
ADANIENT,13-Feb-23,"1,850.00","1,921.70","1,662.25","1,717.65","1,717.65","1,22,10,940"
ADANIENT,10-Feb-23,"1,769.00","1,990.00","1,733.15","1,846.95","1,846.95","1,13,34,878"
ADANIENT,9-Feb-23,"2,168.00","2,168.00","1,731.40","1,925.70","1,925.70","1,82,79,862"
ADANIENT,8-Feb-23,"1,869.85","2,222.15","1,840.85","2,164.25","2,164.25","1,91,73,006"
ADANIENT,7-Feb-23,"1,571.00","1,962.70","1,525.60","1,802.95","1,802.95","1,91,88,072"
ADANIENT,6-Feb-23,"1,575.00","1,615.00","1,435.20","1,572.70","1,572.70","1,93,08,603"
ADANIENT,3-Feb-23,"1,490.00","1,679.90","1,017.45","1,586.80","1,586.80","4,38,85,579"
ADANIENT,2-Feb-23,"2,348.85","2,348.85","1,494.75","1,565.25","1,565.25","3,44,74,080"
ADANIENT,1-Feb-23,"2,995.00","3,010.75","1,941.20","2,135.35","2,135.35","1,35,25,314"
ADANIENT,31-Jan-23,"2,980.00","3,073.60","2,906.00","2,973.90","2,973.90","1,15,68,020"
ADANIENT,30-Jan-23,"2,850.00","3,037.55","2,665.00","2,892.85","2,892.85","2,09,47,906"
ADANIENT,27-Jan-23,"3,335.00","3,346.50","2,712.00","2,761.45","2,761.45","1,47,64,368"
ADANIENT,25-Jan-23,"3,422.00","3,428.00","3,315.00","3,388.95","3,388.95","36,86,439"
ADANIENT,24-Jan-23,"3,447.45","3,508.00","3,430.00","3,442.00","3,442.00","15,18,123"
ADANIENT,23-Jan-23,"3,443.05","3,460.00","3,412.55","3,436.35","3,436.35","9,74,857"
ADANIENT,20-Jan-23,"3,450.00","3,477.35","3,440.95","3,456.15","3,456.15","15,10,258"
ADANIENT,19-Jan-23,"3,470.00","3,537.70","3,426.70","3,463.55","3,463.55","36,96,319"
ADANIENT,18-Jan-23,"3,648.00","3,648.00","3,527.10","3,596.70","3,596.70","36,52,240"
ADANIENT,17-Jan-23,"3,620.00","3,649.60","3,560.20","3,639.35","3,639.35","16,68,381"
ADANIENT,16-Jan-23,"3,720.00","3,739.95","3,600.00","3,619.80","3,619.80","18,63,848"
ADANIENT,13-Jan-23,"3,651.20","3,736.05","3,642.20","3,721.15","3,721.15","13,64,712"
ADANIENT,12-Jan-23,"3,642.50","3,679.00","3,612.00","3,647.20","3,647.20","11,99,785"
ADANIENT,11-Jan-23,"3,660.00","3,664.50","3,560.10","3,635.80","3,635.80","22,26,506"
ADANIENT,10-Jan-23,"3,859.00","3,862.05","3,555.00","3,646.90","3,646.90","35,95,798"
ADANIENT,9-Jan-23,"3,843.00","3,880.00","3,811.25","3,855.30","3,855.30","7,53,981"
ADANIENT,6-Jan-23,"3,829.00","3,868.25","3,797.05","3,824.25","3,824.25","9,12,159"
ADANIENT,5-Jan-23,"3,827.05","3,842.40","3,756.90","3,829.80","3,829.80","9,97,006"
ADANIENT,4-Jan-23,"3,839.00","3,874.95","3,803.60","3,827.05","3,827.05","10,28,377"
ADANIENT,3-Jan-23,"3,841.90","3,852.85","3,791.00","3,830.95","3,830.95","7,99,905"
ADANIENT,2-Jan-23,"3,870.00","3,874.00","3,822.55","3,841.20","3,841.20","9,23,051"
ADANIENT,30-Dec-22,"3,829.70","3,898.00","3,822.05","3,858.35","3,858.35","15,28,747"
ADANIENT,29-Dec-22,"3,790.00","3,825.00","3,748.10","3,810.60","3,810.60","15,31,692"
ADANIENT,28-Dec-22,"3,756.05","3,825.00","3,745.00","3,797.70","3,797.70","13,77,950"
ADANIENT,27-Dec-22,"3,732.45","3,797.90","3,695.05","3,769.65","3,769.65","18,04,911"
ADANIENT,26-Dec-22,"3,653.00","3,744.90","3,620.00","3,716.75","3,716.75","21,62,662"
ADANIENT,23-Dec-22,"3,822.00","3,848.00","3,616.80","3,642.20","3,642.20","30,36,157"
ADANIENT,22-Dec-22,"3,948.00","3,948.00","3,817.05","3,868.55","3,868.55","28,79,658"
ADANIENT,21-Dec-22,"4,175.00","4,190.00","3,883.25","3,901.95","3,901.95","35,85,883"
ADANIENT,20-Dec-22,"4,095.00","4,172.00","4,066.40","4,165.30","4,165.30","37,78,426"
ADANIENT,19-Dec-22,"3,988.00","4,104.00","3,971.45","4,075.30","4,075.30","16,43,404"
ADANIENT,16-Dec-22,"4,018.90","4,047.90","3,944.05","3,980.80","3,980.80","15,98,960"
ADANIENT,15-Dec-22,"4,055.80","4,073.05","4,025.00","4,043.75","4,043.75","8,66,138"
ADANIENT,14-Dec-22,"4,076.00","4,092.05","4,040.00","4,055.80","4,055.80","11,14,492"
ADANIENT,13-Dec-22,"4,027.80","4,072.00","4,011.60","4,060.20","4,060.20","12,15,308"
ADANIENT,12-Dec-22,"3,997.00","4,031.90","3,968.75","4,016.70","4,016.70","8,02,499"
ADANIENT,9-Dec-22,"4,044.00","4,094.00","3,941.50","3,996.80","3,996.80","21,29,800"
ADANIENT,8-Dec-22,"4,010.00","4,045.00","4,003.35","4,025.00","4,025.00","8,95,075"
ADANIENT,7-Dec-22,"4,031.00","4,057.90","3,984.55","3,999.30","3,999.30","12,57,261"
ADANIENT,6-Dec-22,"3,920.00","4,057.00","3,909.00","4,031.80","4,031.80","29,62,621"
ADANIENT,5-Dec-22,"3,928.90","3,939.00","3,810.05","3,930.40","3,930.40","23,92,866"
ADANIENT,2-Dec-22,"3,905.00","3,963.80","3,885.00","3,922.50","3,922.50","12,97,832"
ADANIENT,1-Dec-22,"3,937.50","3,944.95","3,902.45","3,915.10","3,915.10","9,45,838"
ADANIENT,30-Nov-22,"3,897.80","3,939.90","3,867.00","3,917.90","3,917.90","19,68,428"
ADANIENT,29-Nov-22,"3,885.00","3,915.00","3,864.05","3,878.40","3,878.40","15,13,444"
ADANIENT,28-Nov-22,"3,899.40","3,925.00","3,871.40","3,886.15","3,886.15","11,19,166"
ADANIENT,25-Nov-22,"3,929.00","3,949.90","3,845.30","3,901.10","3,901.10","25,06,346"
ADANIENT,24-Nov-22,"3,910.00","3,935.00","3,821.00","3,921.10","3,921.10","27,97,181"
ADANIENT,23-Nov-22,"4,050.00","4,061.85","3,873.00","3,903.30","3,903.30","28,61,156"
ADANIENT,22-Nov-22,"4,001.85","4,056.00","3,988.00","4,034.00","4,034.00","17,05,043"
ADANIENT,21-Nov-22,"4,019.95","4,019.95","3,921.95","4,001.85","4,001.85","14,92,003"
ADANIENT,18-Nov-22,"4,028.35","4,043.00","3,984.00","4,019.80","4,019.80","14,40,776"
ADANIENT,17-Nov-22,"3,970.00","4,033.00","3,900.00","4,018.15","4,018.15","22,66,112"
ADANIENT,16-Nov-22,"4,057.30","4,096.00","3,863.55","3,956.60","3,956.60","30,59,841"
ADANIENT,15-Nov-22,"4,025.05","4,065.00","4,022.00","4,057.80","4,057.80","10,65,546"
ADANIENT,14-Nov-22,"3,999.00","4,078.00","3,990.00","4,022.55","4,022.55","18,03,092"
ADANIENT,11-Nov-22,"4,040.00","4,048.95","3,975.15","4,008.85","4,008.85","14,76,875"
ADANIENT,10-Nov-22,"3,995.00","4,030.00","3,962.15","3,992.25","3,992.25","23,13,795"
ADANIENT,9-Nov-22,"3,977.00","4,048.00","3,943.05","3,997.20","3,997.20","37,32,472"
ADANIENT,7-Nov-22,"3,852.45","4,013.70","3,820.00","3,960.60","3,960.60","59,85,652"
ADANIENT,4-Nov-22,"3,642.00","3,849.80","3,566.75","3,833.25","3,833.25","61,12,097"
ADANIENT,3-Nov-22,"3,550.00","3,614.70","3,542.45","3,590.40","3,590.40","12,75,216"
ADANIENT,2-Nov-22,"3,580.00","3,625.15","3,526.00","3,580.70","3,580.70","25,34,755"
ADANIENT,1-Nov-22,"3,361.90","3,607.45","3,352.00","3,575.70","3,575.70","43,93,335"
